game,platform,release_date,metascore,userscore,developer,genre,num_critic_reviews,num_user_rating
Lost Eidolons,PC,2022/10/13,77,8.1,Ocean Drive Studio,"Strategy, Turn-Based, Tactics",9,19
Sunday Gold,PC,2022/10/13,71,NA,Bkom,"Strategy, Turn-Based, General",29,NA
Atari Mania,Switch,2022/10/13,69,NA,NA,NA,NA,NA
The Last Oricru,PlayStation 5,2022/10/13,57,8.1,GoldKnights Studio,"Role-Playing, Action RPG",11,10
The Last Oricru,PC,2022/10/13,53,7.3,GoldKnights Studio,"Role-Playing, Action RPG",9,18
LEGO Bricktales,PC,2022/10/12,75,5.8,ClockStone Studio,"Action Adventure, Sandbox",27,5
LEGO Bricktales,Xbox Series X,2022/10/12,75,NA,ClockStone Studio,"Action Adventure, Sandbox",8,NA
LEGO Bricktales,PlayStation 5,2022/10/12,72,NA,ClockStone Studio,"Action Adventure, Sandbox",7,NA
LEGO Bricktales,Switch,2022/10/12,70,NA,ClockStone Studio,"Action Adventure, Sandbox",10,NA
No More Heroes III,Xbox Series X,2022/10/11,80,NA,Grasshopper Manufacture,"Action Adventure, General, Open-World",10,NA
PGA Tour 2K23,Xbox Series X,2022/10/11,78,NA,HB Studios Multimedia,"Sports, Individual, Golf, Sim",8,NA
Asterigos: Curse of the Stars,PlayStation 5,2022/10/11,77,6.4,Acme Gamestudio,"Role-Playing, Action Adventure, Action RPG, Open-World",8,43
PGA Tour 2K23,PlayStation 5,2022/10/11,76,NA,Take-Two Interactive,"Sports, Individual, Golf, Sim",31,NA
Asterigos: Curse of the Stars,PC,2022/10/11,75,6.1,Acme Gamestudio,"Role-Playing, Action Adventure, Action RPG, Open-World",12,26
No More Heroes III,PlayStation 5,2022/10/11,73,8.2,Grasshopper Manufacture,"Action Adventure, General, Open-World",12,6
NHL 23,Xbox Series X,2022/10/11,72,1.2,"Electronic Arts, EA Vancouver","Sports, Team, Ice Hockey, Sim",10,17
NHL 23,PlayStation 5,2022/10/11,70,2.4,"Electronic Arts, EA Vancouver","Sports, Team, Ice Hockey, Sim",21,26
No Man's Sky,Switch,2022/10/07,84,8.5,Hello Games,"Action Adventure, Open-World",10,42
CHAOS;HEAD NOAH,Switch,2022/10/07,68,NA,Mages.,"Adventure, Visual Novel",7,NA
NieR: Automata - The End of YoRHa Edition,Switch,2022/10/06,89,7,"Virtuos, PlatinumGames","Role-Playing, Action RPG",34,151
Overwatch 2,PC,2022/10/04,79,1.5,Blizzard Entertainment,"Action, Shooter, First-Person, Tactical",50,2612
Dakar Desert Rally,PlayStation 5,2022/10/04,69,6.6,Saber Interactive,"Racing, Simulation, Other, Automobile",11,14
Dakar Desert Rally,Xbox Series X,2022/10/04,67,NA,Saber Interactive,"Racing, Simulation, Other, Automobile",7,NA
Alfred Hitchcock: Vertigo,PlayStation 5,2022/10/04,64,NA,Pendulo Studios,"Action Adventure, Adventure, General, 3D, Third-Person",8,NA
Dorfromantik,Switch,2022/09/29,81,NA,Toukana Interactive,"Strategy, Turn-Based, General",10,NA
Sam & Max Save the World Remastered,PlayStation 4,2022/09/29,79,NA,Skunkape Games,"Adventure, Point-and-Click",7,NA
Let's Build a Zoo,Switch,2022/09/29,76,NA,Merge Games,"Strategy, Management, Business / Tycoon",7,NA
Valkyrie Elysium,PlayStation 5,2022/09/29,65,5,"Square Enix, Soleil Ltd.","Role-Playing, Action RPG",57,140
NeverAwake,PC,2022/09/28,84,NA,Neotro Inc.,"Action, General, Shooter, Shoot-'Em-Up, Horizontal",7,NA
The Excavation of Hob's Barrow,PC,2022/09/28,81,8.2,Cloak and Dagger Games,"General, Adventure, Point-and-Click",13,6
The Legend of Heroes: Trails from Zero,PC,2022/09/27,90,8.1,Falcom,"Role-Playing, Japanese-Style",10,22
Tunic,Switch,2022/09/27,88,7.8,ISOMETRICORP Games,"Role-Playing, Action Adventure, Action RPG, Open-World",8,17
The Legend of Heroes: Trails from Zero,Switch,2022/09/27,86,7.9,Falcom,"Role-Playing, Japanese-Style",15,23
Grounded,PC,2022/09/27,83,7.6,Obsidian Entertainment,"Action Adventure, Survival, Sandbox",23,57
