game,platform,release_date,metascore,userscore,developer,genre,num_critic_reviews,num_user_rating
Trine 4: The Nightmare Prince,Switch,2019/10/08,80,7.8,"Frozenbyte, Inc.","Action, Platformer, 2D",21,39
Trine 4: The Nightmare Prince,Xbox One,2019/10/08,80,7.1,"Frozenbyte, Inc.","Action, Platformer, 2D",16,20
Trine 4: The Nightmare Prince,PlayStation 4,2019/10/08,80,7.4,"Frozenbyte, Inc.","Action, Platformer, 2D",39,50
Indivisible,PC,2019/10/08,78,6.5,Lab Zero Games,"Role-Playing, Action RPG",21,59
Indivisible,PlayStation 4,2019/10/08,77,6.9,Lab Zero Games,"Role-Playing, Action RPG",45,97
Concrete Genie,PlayStation 4,2019/10/08,75,8.1,Pixel Opus,"Adventure, 3D, Third-Person",83,451
GRID,PC,2019/10/08,74,5.3,Codemasters,"Racing, Simulation, Automobile",13,87
The Alliance Alive HD Remastered,Switch,2019/10/08,74,7.3,Cattle Call,"Role-Playing, Japanese-Style",14,32
John Wick Hex,PC,2019/10/08,74,4.5,Mike Bithell,"Strategy, Turn-Based, Tactics",53,56
BurgerTime Party!,Switch,2019/10/08,70,6,G-mode,"Action, Arcade",10,9
Call of Cthulhu: The Official Video Game,Switch,2019/10/08,68,7.4,"Cyanide, Saber3D","Role-Playing, Action Adventure, General, Survival",14,21
Argonus and the Gods of Stone,PC,2019/10/08,68,NA,Zojoi Studios,"Action Adventure, General",8,NA
The Bradwell Conspiracy,PlayStation 4,2019/10/08,67,6,Bossa Studios,"Adventure, 3D, First-Person",7,10
The Bradwell Conspiracy,PC,2019/10/08,65,6.1,Bossa Studios,"Adventure, 3D, First-Person",7,12
Asphalt 9: Legends,Switch,2019/10/08,61,6.5,Gameloft,"Racing, Arcade, Automobile",8,98
Ghostbusters: The Video Game Remastered,Switch,2019/10/04,73,6.8,Saber Interactive,"Action, General",10,29
One Night Stand,Switch,2019/10/04,71,NA,"Kinmoku, Poppy Works","Adventure, Visual Novel",7,NA
Ghostbusters: The Video Game Remastered,Xbox One,2019/10/04,68,6.4,Saber Interactive,"Action, General",9,15
Rain of Reflections: Chapter 1,PC,2019/10/04,68,8,Lionbite Games,"Strategy, Action Adventure, Turn-Based, General",9,8
Ghostbusters: The Video Game Remastered,PlayStation 4,2019/10/04,66,7.1,Saber Interactive,"Action, General",25,61
Tom Clancy's Ghost Recon: Breakpoint,PC,2019/10/04,58,2.9,Ubisoft Paris,"Action Adventure, Open-World",30,903
Neo Cab,PC,2019/10/03,76,5.5,Chance Agency,"Adventure, General",17,28
Candleman,Switch,2019/10/03,75,8,Spotlightor Interactive,"Action, Platformer, 3D",7,6
Neo Cab,Switch,2019/10/03,74,6.8,Chance Agency,"Adventure, General",18,23
Galaxy Champions TV,Switch,2019/10/03,65,4.8,aQuadiun,"Action, Shooter, Shoot-'Em-Up, Top-Down",9,4
Paranoia: Happiness is Mandatory,PC,2019/10/03,47,5.5,Black Shamrock,"Role-Playing, Action RPG",15,22
Warsaw,PC,2019/10/02,62,7.2,Pixelated Milk,"Role-Playing, Strategy, Turn-Based, General, Tactics",32,33
80 DAYS,Switch,2019/10/01,84,7.8,inkle,"Adventure, Visual Novel",9,10
Destiny 2: Shadowkeep,PC,2019/10/01,78,5.5,Bungie,"Action, Shooter, First-Person, Arcade",18,269
Destiny 2: Shadowkeep,Xbox One,2019/10/01,73,7,Bungie,"Action, Shooter, First-Person, Arcade",10,43
Sniper Elite III: Ultimate Edition,Switch,2019/10/01,73,6.5,Rebellion,"Action, Shooter, Third-Person, Tactical",21,14
Destiny 2: Shadowkeep,PlayStation 4,2019/10/01,73,5.6,Bungie,"Action, Shooter, First-Person, Arcade",27,92
Tom Clancy's Ghost Recon: Breakpoint,Xbox One,2019/10/01,62,3.5,Ubisoft Paris,"Action Adventure, Open-World",30,298
Tom Clancy's Ghost Recon: Breakpoint,PlayStation 4,2019/10/01,56,3,Ubisoft Paris,"Action Adventure, Open-World",56,1048
Dragon Quest XI S: Echoes of an Elusive Age - Definitive Edition,Switch,2019/09/27,91,8.6,Square Enix,"Role-Playing, Japanese-Style",50,712
Ori and the Blind Forest: Definitive Edition,Switch,2019/09/27,90,8.5,Moon Studios,"Action, Platformer, 2D, , Metroidvania",20,395
Tropico 6,Xbox One,2019/09/27,78,6.6,Limbic Entertainment,"Strategy, Management, Government",7,10
Tropico 6,PlayStation 4,2019/09/27,76,6.8,Limbic Entertainment,"Strategy, Management, Government",9,41
Code Vein,Xbox One,2019/09/27,75,7.5,"Shift, Bandai Namco Games","Role-Playing, Action RPG",14,128
Dragon Quest III: The Seeds of Salvation,Switch,2019/09/27,71,6.9,Square Enix,"Role-Playing, Japanese-Style",9,15
Code Vein,PlayStation 4,2019/09/27,70,7.8,"Shift, Bandai Namco Games","Role-Playing, Action RPG",69,613
Dragon Quest,Switch,2019/09/27,63,7,Square Enix,"Role-Playing, Japanese-Style",10,20
Dragon Quest II: Luminaries of the Legendary Line,Switch,2019/09/27,60,6.1,Square Enix,"Role-Playing, Japanese-Style",9,14
FIFA 20: Legacy Edition,Switch,2019/09/27,43,0.8,Electronic Arts,"Sports, Team, Soccer, Sim",9,945
Stygian: Reign of the Old Ones,PC,2019/09/26,81,8,Cultic Games,"Adventure, General",17,85
Gunvolt Chronicles: Luminous Avenger iX,Switch,2019/09/26,81,8,Inti Creates,"Action, Platformer, 2D",10,25
Fight'N Rage,Switch,2019/09/26,79,7.8,"BlitWorks, sebagamesdev","Action, Beat-'Em-Up, 2D",9,16
Darksiders II: Deathinitive Edition,Switch,2019/09/26,77,8.2,Gunfire Games,"Action Adventure, Open-World",15,45
Northgard,Switch,2019/09/26,77,7.6,Shiro Games,"Strategy, Turn-Based, Real-Time, 4X, Command",7,21
Code Vein,PC,2019/09/26,72,7.6,"Shift, Bandai Namco Games","Role-Playing, Action RPG",18,462
L.A. Noire: The VR Case Files,PlayStation 4,2019/09/24,81,6.5,Rockstar Games,"Adventure, 3D, First-Person",7,15
FIFA 20,Xbox One,2019/09/24,79,1.8,Electronic Arts,"Sports, Team, Soccer, Sim",18,368
FIFA 20,PlayStation 4,2019/09/24,79,1.3,Electronic Arts,"Sports, Team, Soccer, Sim",62,3670
The Surge 2,Xbox One,2019/09/24,78,6.6,Deck 13,"Role-Playing, Action RPG",15,75
Cat Quest II: The Lupus Empire,PC,2019/09/24,76,7.6,The Gentlebros,"Action, Role-Playing, General, Action RPG",14,29
The Surge 2,PlayStation 4,2019/09/24,75,7.1,Deck 13,"Role-Playing, Action RPG",49,185
Spellcaster University,PC,2019/09/24,73,7.9,NA,NA,NA,NA
Star Wars Jedi Knight II: Jedi Outcast,Switch,2019/09/24,64,5.5,"Aspyr, Aspire","Action Adventure, Linear",11,32
Dead by Daylight,Switch,2019/09/24,61,3.5,505 Games,"Action Adventure, Survival",10,53
Contra: Rogue Corps,Xbox One,2019/09/24,56,4.4,"Konami, Toylogic Inc.","Action, Shooter, Shoot-'Em-Up, Top-Down",12,36
Contra: Rogue Corps,PlayStation 4,2019/09/24,52,4.1,"Konami, Toylogic Inc.","Action, Shooter, Shoot-'Em-Up, Top-Down",24,51
Contra: Rogue Corps,Switch,2019/09/24,42,4.9,"Konami, Toylogic Inc.","Action, Shooter, Shoot-'Em-Up, Top-Down",11,46
The Surge 2,PC,2019/09/23,76,6.3,Deck 13,"Role-Playing, Action RPG",39,171
The Legend of Zelda: Link's Awakening,Switch,2019/09/20,87,8.4,"Nintendo, GREZZO","Action Adventure, Open-World",111,1521
Ni no Kuni: Wrath of the White Witch Remastered,PlayStation 4,2019/09/20,86,8.1,"Level 5, QLOC","Role-Playing, Japanese-Style",31,205
Ni no Kuni: Wrath of the White Witch,Switch,2019/09/20,84,7.8,"Level 5, Engine Software","Role-Playing, Japanese-Style",23,131
Untitled Goose Game,Switch,2019/09/20,81,7.6,"House House, 22nd Century Toys","Simulation, Action Adventure, General, Open-World",44,204
Untitled Goose Game,PC,2019/09/20,79,6.8,House House,"Simulation, Action Adventure, General, Open-World",17,159
The Sojourn,PC,2019/09/20,78,6.7,Shifting Tides,"Adventure, 3D, First-Person",10,24
The Sojourn,Xbox One,2019/09/20,73,6.7,Shifting Tides,"Adventure, 3D, First-Person",9,15
The Sojourn,PlayStation 4,2019/09/20,71,6.7,Shifting Tides,"Adventure, 3D, First-Person",16,24
Sayonara Wild Hearts,Switch,2019/09/19,84,8.1,Simogo,"Action, Rhythm, Music",31,78
WHAT THE GOLF?,PC,2019/09/19,83,7.8,Triband,"Sports, Individual, Golf, Arcade",10,23
Sayonara Wild Hearts,PlayStation 4,2019/09/19,82,6.6,Simogo,"Action, Rhythm, Music",17,57
Mutazione,PC,2019/09/19,80,7.5,Die Gute Fabrik,"Adventure, Point-and-Click",7,29
GRID Autosport,Switch,2019/09/19,79,8.2,"Codemasters, Feral Interactive","Racing, Simulation, Automobile",14,63
Puzzle Quest: The Legend Returns,Switch,2019/09/19,78,7.5,Infinity Plus 2,"Puzzle, Matching",16,23
Mutazione,PlayStation 4,2019/09/19,76,7.6,Die Gute Fabrik,"Adventure, Point-and-Click",11,23
Overland,Switch,2019/09/19,75,6.7,Finji,"Strategy, Turn-Based, Tactics",8,6
Overland,PC,2019/09/19,69,6.7,Finji,"Strategy, Adventure, Turn-Based, General, Tactics",7,24
Devil May Cry 2,Switch,2019/09/19,50,7.8,Capcom,"Action Adventure, Linear",8,69
Crying Suns,PC,2019/09/18,75,7.6,Alt Shift,"Strategy, General",11,46
AI: The Somnium Files,Switch,2019/09/17,86,8.7,Spike Chunsoft,"Action Adventure, General",13,581
AI: The Somnium Files,PlayStation 4,2019/09/17,78,8.8,Spike Chunsoft,"Action Adventure, General",21,348
LEGO Jurassic World,Switch,2019/09/17,71,7.3,Warner Bros.,"Action Adventure, General",11,11
Rebel Cops,PC,2019/09/17,69,6.6,Weappy Studio,"Strategy, Turn-Based, Tactics",9,11
Jet Kave Adventure,Switch,2019/09/17,65,6.4,7Levels,"Action, Platformer, 2D",20,25
Daymare: 1998,PC,2019/09/17,62,6.8,Invader Studios,"Action Adventure, Survival",22,157
Groundhog Day: Like Father Like Son,PlayStation 4,2019/09/17,62,5.4,"Tequila Works, Sony Pictures Virtual Reality","Adventure, 3D, First-Person",12,16
Devil's Hunt,PC,2019/09/17,47,5.5,Layopi Games,"Action Adventure, General",20,68
Massira,PlayStation 4,2019/09/16,60,5.4,NA,NA,NA,NA
Star Wars Pinball,Switch,2019/09/13,86,7.4,Zen Studios,"Action, Pinball",30,38
Borderlands 3,Xbox One,2019/09/13,82,5.7,Gearbox Software,"Action, Shooter, First-Person, Arcade",25,482
Borderlands 3,PC,2019/09/13,81,5.4,Gearbox Software,"Action, Shooter, First-Person, Arcade",53,2705
Borderlands 3,PlayStation 4,2019/09/13,78,6,Gearbox Software,"Action, Shooter, First-Person, Arcade",43,1355
Daemon X Machina,Switch,2019/09/13,69,7.6,"First Studio, Marvelous First Studio","Simulation, Vehicle, Combat",68,301
Amnesia Collection,Switch,2019/09/12,76,7.3,Frictional Games,"Miscellaneous, Compilation",7,15
Golazo!,Switch,2019/09/12,67,5.1,"Purple Tree, Purple Tree Studio","Sports, Team, Soccer, Arcade",7,7
The Sinking City,Switch,2019/09/12,61,8,Frogwares,"Action Adventure, Survival",22,86
NHL 20,Xbox One,2019/09/10,85,4.3,Electronic Arts,"Sports, Team, Ice Hockey, Sim",12,64
The Walking Dead: The Telltale Definitive Series,Xbox One,2019/09/10,85,7.9,"Telltale Games, Skybound Games","Miscellaneous, Compilation",7,41
Blasphemous,Xbox One,2019/09/10,82,7.8,The Game Kitchen,"Action, Action Adventure, Platformer, Open-World, , Metroidvania",14,99
eFootball PES 2020,Xbox One,2019/09/10,82,7.1,Konami,"Sports, Team, Soccer, Sim",9,127
eFootball PES 2020,PlayStation 4,2019/09/10,82,7.5,Konami,"Sports, Team, Soccer, Sim",54,1003
The Walking Dead: The Telltale Definitive Series,PlayStation 4,2019/09/10,82,7.8,"Telltale Games, Skybound Games","Miscellaneous, Compilation",10,101
Gears 5,PC,2019/09/10,82,6.8,The Coalition,"Action, Shooter, Third-Person, Arcade",24,822
WRC 8 FIA World Rally Championship,PlayStation 4,2019/09/10,79,5.7,Kylotonn,"Racing, Arcade, Automobile",24,52
GreedFall,Xbox One,2019/09/10,78,7.7,Spiders,"Role-Playing, Action RPG",14,139
Blasphemous,PlayStation 4,2019/09/10,78,7.8,The Game Kitchen,"Action, Action Adventure, Platformer, Open-World, , Metroidvania",16,175
Blasphemous,Switch,2019/09/10,77,7.8,The Game Kitchen,"Action, Action Adventure, Platformer, Open-World, , Metroidvania",27,183
Blasphemous,PC,2019/09/10,77,6.6,The Game Kitchen,"Action, Action Adventure, Platformer, Open-World, , Metroidvania",21,330
NHL 20,PlayStation 4,2019/09/10,77,3.8,Electronic Arts,"Sports, Team, Ice Hockey, Sim",26,155
NASCAR Heat 4,Xbox One,2019/09/10,74,6.4,NA,NA,NA,NA
GreedFall,PlayStation 4,2019/09/10,72,7.6,Spiders,"Role-Playing, Action RPG",37,493
NASCAR Heat 4,PlayStation 4,2019/09/10,70,5.7,"Monster Games Inc., 704Games","Racing, Simulation, Automobile",7,21
Utawarerumono Zan,PlayStation 4,2019/09/10,59,3.8,"Tamsoft, Aqua Plus","Action, Role-Playing, General, Action RPG",12,12
GreedFall,PC,2019/09/09,72,7.5,Spiders,"Role-Playing, Action RPG",39,556
WRC 8 FIA World Rally Championship,Xbox One,2019/09/08,76,6,Kylotonn,"Racing, Arcade, Automobile",19,33
Monster Hunter: World - Iceborne,Xbox One,2019/09/06,90,8.1,Capcom,"Role-Playing, Action RPG",9,77
Monster Hunter: World - Iceborne,PlayStation 4,2019/09/06,89,8.4,Capcom,"Role-Playing, Action RPG",65,335
Gears 5,Xbox One,2019/09/06,84,8.2,The Coalition,"Action, Shooter, Third-Person, Arcade",89,3256
NBA 2K20,Xbox One,2019/09/06,80,1.6,Visual Concepts,"Sports, Team, Basketball, Sim",18,333
NBA 2K20,PlayStation 4,2019/09/06,78,1.4,Visual Concepts,"Sports, Team, Basketball, Sim",42,1199
Creature in the Well,Xbox One,2019/09/06,78,5.9,Flight School Studio,"Action Adventure, General",15,16
Creature in the Well,Switch,2019/09/06,76,7.5,Flight School Studio,"Action Adventure, General",21,24
NBA 2K20,Switch,2019/09/06,73,1.8,Visual Concepts,"Sports, Team, Basketball, Sim",11,117
Fantasy General II: Invasion,PC,2019/09/05,80,7,Owned by Gravity,"Strategy, General",9,35
River City Girls,Switch,2019/09/05,79,7.1,WayForward,"Action, Beat-'Em-Up, 2D",12,74
River City Girls,PlayStation 4,2019/09/05,79,6.7,WayForward,"Action, Beat-'Em-Up, 2D",16,55
Green Hell,PC,2019/09/05,78,7.7,Creepy Jar,"Action, Action Adventure, Shooter, Survival, First-Person, Arcade",13,172
WRC 8 FIA World Rally Championship,PC,2019/09/05,77,5.9,Kylotonn,"Racing, Arcade, Automobile",12,64
Headliner: NoviNews,Switch,2019/09/05,75,7.6,Unbound Creations,"Adventure, General",15,9
Divinity: Original Sin II - Definitive Edition,Switch,2019/09/04,93,8.4,"Larian Studios Games, BlitWorks, The Dragon Commanders","Role-Playing, Western-Style",18,340
Deadly Premonition Origins,Switch,2019/09/04,70,7.8,"Toybox Games, TOYBOX","Action Adventure, Open-World",15,72
Children of Morta,PC,2019/09/03,82,8.2,Dead Mage,"Role-Playing, Adventure, General, Action RPG",48,267
Torchlight II,Switch,2019/09/03,81,8.2,Panic Button,"Role-Playing, Action RPG",24,59
Catherine: Full Body,PlayStation 4,2019/09/03,81,8.2,Atlus,"Action Adventure, Survival",60,234
Final Fantasy VIII Remastered,PlayStation 4,2019/09/03,80,7.2,Square Enix,"Role-Playing, Japanese-Style",34,172
Torchlight II,PlayStation 4,2019/09/03,80,5.2,Panic Button,"Role-Playing, Action RPG",7,36
Final Fantasy VIII Remastered,Switch,2019/09/03,80,7.1,Square Enix,"Role-Playing, Japanese-Style",12,84
Spyro Reignited Trilogy,Switch,2019/09/03,79,8.3,Toys for Bob,"Miscellaneous, Compilation",30,143
Torchlight II,Xbox One,2019/09/03,78,7.4,Panic Button,"Role-Playing, Action RPG",7,17
Final Fantasy VIII Remastered,PC,2019/09/03,73,5.4,Square Enix,"Role-Playing, Japanese-Style",7,56
Astral Chain,Switch,2019/08/30,87,8.9,PlatinumGames,"Action Adventure, General",92,3424
Blair Witch,PC,2019/08/30,69,6.3,Bloober Team,"Action Adventure, Survival",45,444
The Dark Pictures Anthology: Man of Medan,PlayStation 4,2019/08/30,69,5.8,Supermassive Games,"Action Adventure, Adventure, General, Survival",70,464
The Dark Pictures Anthology: Man of Medan,Xbox One,2019/08/30,69,6.8,Supermassive Games,"Action Adventure, Adventure, General, Survival",21,156
Blair Witch,Xbox One,2019/08/30,67,6.7,Bloober Team,"Action Adventure, Survival",30,362
Heave Ho,Switch,2019/08/29,80,7.8,Le Cartel Studio,"Miscellaneous, Adventure, General, Party / Minigame",14,19
Agent A: A Puzzle In Disguise,Switch,2019/08/29,79,7.7,Yak & Co,"Puzzle, General",9,30
The Dark Pictures Anthology: Man of Medan,PC,2019/08/29,75,6.6,Supermassive Games,"Action Adventure, Adventure, General, Survival",23,318
Vambrace: Cold Soul,Switch,2019/08/29,59,5.8,Devespresso Games,"Adventure, General",9,4
AER: Memories of Old,Switch,2019/08/28,73,6.6,Daedalic Entertainment,"Action Adventure, Open-World",8,16
Headspun,PC,2019/08/28,51,NA,Superstring,"Adventure, General",9,NA
Control,PC,2019/08/27,85,7.4,Remedy Entertainment,"Action Adventure, General",33,1418
Control,Xbox One,2019/08/27,84,7.6,"Remedy Entertainment, 505 Games","Action Adventure, General",31,449
Wreckfest,PlayStation 4,2019/08/27,82,7.1,Bugbear,"Racing, General, Arcade, Automobile",23,192
Control,PlayStation 4,2019/08/27,82,7.4,Remedy Entertainment,"Action Adventure, General",63,2436
World of Warcraft Classic,PC,2019/08/27,81,6.1,Blizzard Entertainment,"Role-Playing, Miscellaneous, Massively Multiplayer, Board / Card Game",17,258
Hunt: Showdown,PC,2019/08/27,81,7.3,Crytek,"Sci-Fi, Third-Person, Arcade, Action, Shooter, First-Person, Tactical",23,393
Knights and Bikes,PlayStation 4,2019/08/27,79,7,Foam Sword,"Action Adventure, General",24,54
Zombie Army 4: Dead War,PC,2019/08/27,74,4.6,NA,NA,NA,NA
Minoria,PC,2019/08/27,73,7.3,NA,NA,NA,NA
MXGP 2019,Xbox One,2019/08/27,70,5.6,Milestone S.r.l,"Racing, Arcade, Automobile",8,12
MXGP 2019,PlayStation 4,2019/08/27,68,3.6,Milestone S.r.l,"Racing, Arcade, Automobile",16,8
Crystar,PlayStation 4,2019/08/27,67,9.6,"FuRyu, Gemdrops","Role-Playing, General, Action RPG",13,2242
Ancestors: The Humankind Odyssey,PC,2019/08/27,64,5.8,Panache Digital Games,"Action Adventure, General, Survival",71,277
Whipseey and the Lost Atlas,Switch,2019/08/27,54,6.6,Daniel A. Ramirez,"Action, Platformer, 2D",7,21
Decay of Logos,PlayStation 4,2019/08/27,47,5.3,Amplify Creations,"Role-Playing, Action RPG",10,20
Wreckfest,Xbox One,2019/08/26,83,6.8,Bugbear,"Racing, General, Arcade, Automobile",21,101
Knights And Bikes,PC,2019/08/26,79,5.3,Foam Sword,"Action Adventure, General",10,25
Telling Lies,PC,2019/08/23,84,6,"Sam Barlow, Furious Bee","Adventure, General",34,64
Snooker 19,Switch,2019/08/23,64,3.6,Lab42,"Sports, Individual, Billiards",7,5
Mable & The Wood,PC,2019/08/23,62,4.3,Triplevision Games,"Action, Platformer, 2D, Metroidvania",15,7
Life is Strange 2: Episode 4 - Faith,PC,2019/08/22,82,5.1,DONTNOD Entertainment,"Action Adventure, General",11,42
Life is Strange 2: Episode 4 - Faith,PlayStation 4,2019/08/22,77,4.7,DONTNOD Entertainment,"Action Adventure, General",15,43
Oninaki,PlayStation 4,2019/08/22,69,5.8,Tokyo RPG Factory,"Japanese-Style, Role-Playing, Action RPG",45,46
Oninaki,Switch,2019/08/22,68,7.1,Tokyo RPG Factory,"Role-Playing, Action RPG, Japanese-Style",23,70
The Yakuza Remastered Collection,PlayStation 4,2019/08/20,83,7.7,Ryu ga Gotoku Studios,"Miscellaneous, Compilation",22,34
Remnant: From the Ashes,Xbox One,2019/08/20,81,7.3,Gunfire Games,"Action, Shooter, Third-Person, Arcade",13,124
Yu-Gi-Oh! Legacy of the Duelist: Link Evolution,Switch,2019/08/20,79,7.8,Konami,"Strategy, Turn-Based, Card Battle",13,68
Remnant: From the Ashes,PlayStation 4,2019/08/20,77,7,Gunfire Games,"Action, Shooter, Third-Person, Arcade",19,267
Rad,Xbox One,2019/08/20,76,6.5,Double Fine Productions,"Adventure, Action Adventure, General",13,12
Rad,PlayStation 4,2019/08/20,74,6.7,NA,NA,NA,NA
Rad,Switch,2019/08/20,68,6.8,Double Fine Productions,"Adventure, Action Adventure, General",14,26
Truck Racing Championship,PlayStation 4,2019/08/20,60,3.7,N-RACING,"Racing, Simulation, Automobile",7,7
Hotline Miami Collection,Switch,2019/08/19,82,8,Dennaton,"Miscellaneous, Compilation",22,35
Remnant: From the Ashes,PC,2019/08/19,78,6.7,Gunfire Games,"Action, Shooter, Third-Person, Arcade",42,443
Rad,PC,2019/08/19,71,5.9,Double Fine Productions,"Adventure, Action Adventure, General",20,14
Erica,PlayStation 4,2019/08/19,69,6.8,Flavourworks,"Adventure, General, 3D, Third-Person",41,362
Grandia HD Collection,Switch,2019/08/16,72,7.1,GungHo,"Role-Playing, Miscellaneous, Compilation, Japanese-Style",17,44
Here Be Dragons,PC,2019/08/16,69,8.1,Red Zero Games,"Strategy, Turn-Based, General, Tactics",7,7
Ion Fury,PC,2019/08/15,79,7,"3D Realms, Voidpoint, LLC","Action, General, Shooter, First-Person, Arcade",29,288
Vasara Collection,Switch,2019/08/15,74,7.5,QUByte Interactive,"Miscellaneous, Compilation",7,12
DARQ,PC,2019/08/15,70,7.8,Unfold Games,"Action Adventure, Adventure, General, Linear",8,56
No Man's Sky Beyond,PlayStation 4,2019/08/14,83,8.3,Hello Games,"Action Adventure, Open-World",9,173
Vasara Collection,Xbox One,2019/08/14,73,7.2,QUByte Interactive,"Miscellaneous, Compilation",7,10
The Great Perhaps,PC,2019/08/14,54,6.8,Caligari Games,"Action, Platformer, 2D",10,33
Dicey Dungeons,PC,2019/08/13,80,7.9,Terry Cavanagh,"Strategy, General",16,49
Never Give Up,Switch,2019/08/13,78,8,Massive Monster,"Action, Platformer, 2D",8,13
Rebel Galaxy Outlaw,PC,2019/08/13,77,5.5,Double Damage Games,"Action Adventure, Open-World",23,122
Ancestors Legacy,PlayStation 4,2019/08/13,74,7,Destructive Creations,"Strategy, Real-Time, General, Command",12,24
Exception,Switch,2019/08/13,71,NA,Traxmaster Software,"Action, Platformer, 2D",9,NA
Friday The 13th: The Game - Ultimate Slasher Switch Edition,Switch,2019/08/13,69,7.7,"Black Tower Studios, Nighthawk Interactive","Action Adventure, Survival",20,42
Vicious Circle,PC,2019/08/13,58,6.3,Rooster Teeth Games,"Adventure, General",7,4
Eliza,PC,2019/08/12,84,6.4,Zachtronics Industries,"Adventure, Visual Novel",7,28
Turok 2: Seeds of Evil Remaster,Switch,2019/08/09,60,7.3,Night Dive Studios,"Action, Shooter, First-Person, Arcade",8,8
Pillars of Eternity: Complete Edition,Switch,2019/08/08,82,2.7,Red Cerberus,"Role-Playing, Western-Style",11,75
Total War: Three Kingdoms - Eight Princes,PC,2019/08/08,67,4,Creative Assembly,"Strategy, Real-Time, General",10,6
Gibbous - A Cthulhu Adventure,PC,2019/08/07,74,6.4,Stuck In Attic,"Adventure, General, Point-and-Click",14,55
Damsel,Xbox One,2019/08/07,66,4.4,Screwtape Studios,"Action, Platformer, 2D",9,5
The Forbidden Arts,Switch,2019/08/07,50,NA,"Stingbot Games, Inc., Stingbot Games","Action Adventure, Open-World",7,NA
Age of Wonders: Planetfall,Xbox One,2019/08/06,85,6.5,Triumph Studios,"Strategy, Turn-Based, General, 4X",10,26
Age of Wonders: Planetfall,PC,2019/08/06,81,7.6,Triumph Studios,"Strategy, Turn-Based, General, 4X",42,104
Gravity Ghost: Deluxe Edition,PlayStation 4,2019/08/06,79,3.2,Ivy Games LLC,"Action, General",7,10
Age of Wonders: Planetfall,PlayStation 4,2019/08/06,78,6.6,Triumph Studios,"Strategy, Turn-Based, General, 4X",10,42
The Angry Birds Movie 2 VR: Under Pressure,PlayStation 4,2019/08/06,70,7.7,XR Games,"Puzzle, Action",13,34
Metal Wolf Chaos XD,PC,2019/08/06,65,5.5,"From Software, General Arcade","Simulation, Vehicle, Combat",15,24
Metal Wolf Chaos XD,PlayStation 4,2019/08/06,63,6.3,"From Software, General Arcade","Simulation, Vehicle, Combat",29,32
Metal Wolf Chaos XD,Xbox One,2019/08/06,55,6.3,"From Software, General Arcade","Simulation, Vehicle, Combat",7,16
Silver Chains,PC,2019/08/06,51,4.9,Cracked Heads Games,"Action Adventure, Survival",10,11
Dry Drowning,PC,2019/08/02,68,7.9,Studio V,"Adventure, Visual Novel",11,14
The Church in the Darkness,PC,2019/08/02,65,7,Paranoid Productions,"Action Adventure, Open-World",7,8
The Church in the Darkness,Xbox One,2019/08/02,58,6.5,Paranoid Productions,"Action Adventure, Open-World",9,6
The Church in the Darkness,PlayStation 4,2019/08/02,58,5,Paranoid Productions,"Action Adventure, Open-World",11,7
Solo: Islands of the Heart,Switch,2019/08/01,55,NA,Team Gotham,"Puzzle, Action",7,NA
Hamsterdam,Switch,2019/08/01,54,NA,Muse Games,"Action, Beat-'Em-Up, 3D",7,NA
A Short Hike,PC,2019/07/30,82,8.6,adamgryu,"Adventure, General",11,163
Madden NFL 20,Xbox One,2019/07/30,79,2,"Electronic Arts, EA Tiburon","Action, Sports, General, Team, Football, Sim",22,123
Forager,Switch,2019/07/30,78,7.1,HopFrog,"Action Adventure, General",10,23
Madden NFL 20,PlayStation 4,2019/07/30,76,1.4,Electronic Arts,"Action, Sports, General, Team, Football, Sim",23,630
The Blackout Club,PlayStation 4,2019/07/30,72,6.6,Question,"Action Adventure, Survival",14,17
Mutant Year Zero: Road to Eden - Seed of Evil,PC,2019/07/30,71,6.3,The Bearded Ladies Consulting,"Strategy, Turn-Based, Tactics",8,24
Mutant Year Zero: Road to Eden - Deluxe Edition,Switch,2019/07/30,71,4.6,"High Voltage Software, The Bearded Ladies Consulting","Strategy, Turn-Based, Tactics",12,23
The Blackout Club,Xbox One,2019/07/30,69,7.1,Question,"Action Adventure, Survival",7,8
The Blackout Club,PC,2019/07/29,63,7.2,Question,"Action Adventure, Survival",10,13
Fire Emblem: Three Houses,Switch,2019/07/26,89,8.8,"Intelligent Systems, Koei Tecmo Games","Strategy, Turn-Based, Tactics",102,2694
Wolfenstein: Youngblood,PC,2019/07/26,69,2.4,MachineGames,"Action, Shooter, First-Person, Arcade",50,905
Wolfenstein: Youngblood,Xbox One,2019/07/26,68,2.6,MachineGames,"Action, Shooter, First-Person, Arcade",23,238
Kill la Kill: IF,PlayStation 4,2019/07/26,68,6.5,"Studio TRIGGER, Aplus","Action Adventure, General, Action, Fighting, 3D",22,55
Wolfenstein: Youngblood,Switch,2019/07/26,66,3.4,"Panic Button, MachineGames","Action, Shooter, First-Person, Arcade",11,127
Kill la Kill: IF,Switch,2019/07/26,65,6.9,"Studio TRIGGER, Aplus","Action Adventure, General, Action, Fighting, 3D",14,37
Wolfenstein: Youngblood,PlayStation 4,2019/07/26,63,2.7,MachineGames,"Action, Shooter, First-Person, Arcade",36,386
Wolfenstein: Cyberpilot,PlayStation 4,2019/07/26,50,3.8,MachineGames,"Action, Shooter, First-Person, Arcade",35,45
