,game_name.meta,platform.meta,release_date,metascore,userscore,developer,genre,num_critic_reviews,num_user_rating,game_name.vg,platform.vg,sales
1421,Buffy the Vampire Slayer,Xbox,2002/08/18,79,7.9,Double Helix Games,Action,30,40,Buffy the Vampire Slayer,Xbox,NA
1422,Buffy the Vampire Slayer: Chaos Bleeds,GameCube,2003/08/28,75,8.4,Eurocom Entertainment Software,Action,18,11,Buffy the Vampire Slayer: Chaos Bleeds,GameCube,NA
1423,Buffy the Vampire Slayer: Chaos Bleeds,PlayStation 2,2003/08/27,72,8.8,Eurocom Entertainment Software,Action,27,49,Buffy the Vampire Slayer: Chaos Bleeds,PlayStation 2,NA
1424,Buffy the Vampire Slayer: Chaos Bleeds,Xbox,2003/08/27,73,7.7,Eurocom Entertainment Software,Action,26,16,Buffy the Vampire Slayer: Chaos Bleeds,Xbox,NA
1425,Buffy the Vampire Slayer: Wrath of the Darkhul King,Game Boy Advance,2003/06/24,44,8.8,Natsume,Action,16,6,Buffy the Vampire Slayer: Wrath of the Darkhul King,Game Boy Advance,NA
1426,Bug Fables: The Everlasting Sapling,Switch,2020/05/28,85,8.2,Moonsprout Games,Action Adventure,14,127,Bug Fables: The Everlasting Sapling,Switch,NA
1427,Bugs vs. Tanks!,3DS,2013/06/20,50,7,"Level 5, NATSUME ATARI Inc.",Action,14,8,Bugs vs. Tanks!,3DS,NA
1428,Bugsnax,PC,2020/11/12,72,7.1,NA,NA,NA,NA,Bugsnax,PC,NA
1429,Bugsnax,PlayStation 4,2020/11/12,79,7.6,"Young Horses, Inc",Action,29,102,Bugsnax,PlayStation 4,NA
1430,Bugsnax,PlayStation 5,2020/11/12,75,7.6,"Young Horses, Inc",Action,33,377,Bugsnax,PlayStation 5,NA
1431,Bugsnax,Switch,2022/04/28,77,6.2,"Young Horses, Inc",Action Adventure,10,6,Bugsnax,Switch,NA
1432,Build-A-Bear Workshop,DS,2007/11/05,61,4.7,Neko Entertainment,Simulation,11,6,Build-A-Bear Workshop,DS,NA
1433,Build-A-Bear Workshop,DS,2007/11/05,61,4.7,Neko Entertainment,Simulation,11,6,Build-A-Bear Workshop,DS,NA
1434,Bujingai: The Forsaken City,PlayStation 2,2004/07/25,72,7.9,Taito Corporation,Action,28,19,Bujingai: The Forsaken City,PlayStation 2,NA
1435,Bulb Boy,Switch,2017/07/06,75,7.3,Bulbware,Adventure,13,46,Bulb Boy,Switch,NA
1436,Bullet Witch,PC,2018/04/25,51,6.2,Cavia Inc.,Action,13,9,Bullet Witch,PC,NA
1437,Bullet Witch,Xbox 360,2007/02/27,55,6.1,Cavia Inc.,Action,59,48,Bullet Witch,Xbox 360,NA
1438,Bulletstorm,PC,2011/02/21,82,7.7,"Epic Games, People Can Fly",General,34,907,Bulletstorm,PC,NA
1439,Bulletstorm,PlayStation 3,2011/02/22,83,7.7,"Epic Games, People Can Fly",General,57,316,Bulletstorm,PlayStation 3,NA
1440,Bulletstorm,Xbox 360,2011/02/22,84,7.6,"Epic Games, People Can Fly",General,83,473,Bulletstorm,Xbox 360,NA
1441,Bulletstorm: Full Clip Edition,PC,2017/04/07,76,7,People Can Fly,Action,9,82,Bulletstorm: Full Clip Edition,PC,NA
1442,Bulletstorm: Full Clip Edition,PlayStation 4,2017/04/07,75,7.1,People Can Fly,Action,43,162,Bulletstorm: Full Clip Edition,PlayStation 4,NA
1443,Bulletstorm: Full Clip Edition,Xbox One,2017/04/07,82,7,People Can Fly,Action,13,39,Bulletstorm: Full Clip Edition,Xbox One,NA
1444,Bully,PlayStation 2,2006/10/17,87,8.8,Rockstar Vancouver,Action Adventure,69,650,Bully,PlayStation 2,1500000
1445,Bully: Scholarship Edition,PC,2008/10/21,72,7.7,"Mad Doc Software, Rockstar Vancouver",Action Adventure,11,455,Bully: Scholarship Edition,PC,NA
1446,Bully: Scholarship Edition,Wii,2008/03/04,83,8.2,Rockstar Toronto,Action Adventure,34,71,Bully: Scholarship Edition,Wii,NA
1447,Bully: Scholarship Edition,Xbox 360,2008/03/04,80,8.3,"Mad Doc Software, Rockstar Vancouver",Action Adventure,56,218,Bully: Scholarship Edition,Xbox 360,NA
1448,BurgerTime Party!,Switch,2019/10/08,70,6,G-mode,Action,10,9,BurgerTime Party!,Switch,NA
1449,Burnout,GameCube,2002/04/29,78,8.1,Criterion Games,Driving,18,22,Burnout,GameCube,NA
1450,Burnout,PlayStation 2,2001/11/01,79,7.5,Criterion Games,Driving,25,43,Burnout,PlayStation 2,NA
1451,Burnout,Xbox,2002/04/29,75,6.7,Criterion Games,Driving,13,18,Burnout,Xbox,NA
1452,Burnout 2: Point of Impact,GameCube,2003/04/09,89,8.7,Criterion Games,Driving,24,30,Burnout 2: Point of Impact,GameCube,NA
1453,Burnout 2: Point of Impact,PlayStation 2,2002/09/30,86,8.3,Criterion Games,Driving,31,65,Burnout 2: Point of Impact,PlayStation 2,NA
1454,Burnout 2: Point of Impact,Xbox,2003/05/01,88,5.9,Criterion Games,Driving,23,28,Burnout 2: Point of Impact,Xbox,NA
1455,Burnout 3: Takedown,PlayStation 2,2004/09/07,93,9,Criterion Games,Driving,52,451,Burnout 3: Takedown,PlayStation 2,NA
1456,Burnout 3: Takedown,Xbox,2004/09/07,94,7.6,Criterion Games,Driving,76,197,Burnout 3: Takedown,Xbox,NA
1457,Burnout 3: Takedown,Xbox,2004/09/07,94,7.6,Criterion Games,Driving,76,197,Burnout 3: Takedown,Xbox,NA
1458,Burnout Dominator,PlayStation 2,2007/03/06,76,7.8,NA,NA,NA,NA,Burnout Dominator,PlayStation 2,NA
1459,Burnout Legends,DS,2005/11/29,38,5.9,Visual Impact,Driving,12,68,Burnout Legends,DS,NA
1460,Burnout Paradise,PlayStation 3,2008/01/22,87,7.7,Criterion Games,Driving,55,534,Burnout Paradise,PlayStation 3,NA
1461,Burnout Paradise,Xbox 360,2008/01/22,88,7,Criterion Games,Driving,68,324,Burnout Paradise,Xbox 360,NA
1462,Burnout Paradise Remastered,PlayStation 4,2018/03/16,82,7,"Criterion Games, STELLAR ENTERTAINMENT SOFTWARE LTD",Racing,39,183,Burnout Paradise Remastered,PlayStation 4,NA
1463,Burnout Paradise Remastered,Switch,2020/06/19,78,7.9,STELLAR ENTERTAINMENT SOFTWARE LTD,Racing,35,71,Burnout Paradise Remastered,Switch,NA
1464,Burnout Paradise Remastered,Xbox One,2018/03/16,79,7,"Criterion Games, STELLAR ENTERTAINMENT SOFTWARE LTD",Racing,30,59,Burnout Paradise Remastered,Xbox One,NA
1465,Burnout Paradise: The Ultimate Box,PC,2009/02/05,87,7.6,Criterion Games,Driving,26,592,Burnout Paradise: The Ultimate Box,PC,NA
1466,Burnout Revenge,PlayStation 2,2005/09/13,90,8.9,Criterion Games,Driving,52,194,Burnout Revenge,PlayStation 2,NA
1467,Burnout Revenge,Xbox,2005/09/13,89,8.5,Criterion Games,Driving,65,75,Burnout Revenge,Xbox,NA
1468,Burnout Revenge,Xbox,2005/09/13,89,8.5,Criterion Games,Driving,65,75,Burnout Revenge,Xbox,NA
1469,Burnout Revenge,Xbox 360,2006/03/07,89,8.3,Criterion Games,Driving,61,176,Burnout Revenge,Xbox 360,NA
1470,"Bury me, my Love",Switch,2019/01/10,73,4.9,NA,NA,NA,NA,"Bury Me, My Love",Switch,NA
1471,Bus Driver,PC,2007/03/22,61,7.1,SCS Software,Simulation,10,37,Bus Driver,PC,NA
1472,Bus Simulator 16,PC,2016/03/02,46,5.6,Still Alive Studios,Simulation,8,24,Bus Simulator 16,PC,150000
1473,Bushido Blade,PlayStation,1997/09/30,83,8.4,Light Weight,Action,13,33,Bushido Blade,PlayStation,NA
1474,Bust A Groove 2,PlayStation,1999/03/31,66,8.6,Metro,Miscellaneous,8,42,Bust A Groove 2,PlayStation,NA
1475,Bustafellows,Switch,2021/07/30,86,6.3,eXtend,Adventure,7,12,Bustafellows,Switch,NA
1476,Bust-A-Move 4,Dreamcast,2000/05/31,79,8.6,Taito Corporation,Miscellaneous,14,5,Bust-A-Move 4,Dreamcast,NA
1477,Bust-A-Move Bash!,Wii,2007/04/17,53,3.5,Happy Happening,Miscellaneous,20,12,Bust-A-Move Bash!,Wii,NA
1478,Bust-A-Move DS,DS,2005/12/06,75,7.3,Happy Happening,Miscellaneous,14,7,Bust-A-Move DS,DS,NA
1479,Bust-A-Move Universe,3DS,2011/03/27,49,4.9,Arika,Puzzle,30,14,Bust-A-Move Universe,3DS,NA
1480,BUTCHER,Switch,2017/09/28,70,7.5,Transhuman Design,Action,10,17,Butcher,Switch,NA
